Year,State,Visitors
2022,Queensland,519746
2022,New South Wales,3800000
2022,Victoria,2800000
2022,South Australia,220000
2022,Western Australia,534000
2022,Northern Territory,44000
2022,Australian Capital Territory,217000
2022,Tasmania,167000
2023,Queensland,1980000
2023,New South Wales,3400000
2023,Victoria,1910000
2023,South Australia,460000
2023,Western Australia,688000
2023,Northern Territory,180000
2023,Australian Capital Territory,130000
2023,Tasmania,190000
2024,Queensland,2100000
2024,New South Wales,3800000
2024,Victoria,2710000
2024,South Australia,440000
2024,Western Australia,870000
2024,Northern Territory,221000
2024,Australian Capital Territory,200000
2024,Tasmania,200000
2025,Queensland,2200000
2025,New South Wales,3900000
2025,Victoria,2800000
2025,South Australia,435000
2025,Western Australia,941000
2025,Northern Territory,227000
2025,Australian Capital Territory,217000
2025,Tasmania,250000
